Clave,Id,Producto,Precio,PrecioIVA,ClaveProdServ,Detalles,Indicaciones,TiempoEntrega,Duracion,Descripcion
LABCOPRO3,201,LAB COPROPARASITOSCOPICO 3 MUESTRAS,172.41,200.00,85121800 - Laboratorios médicos,,,,,
LABCORTIZ,202,LAB CORTISOL,253.45,294.00,85121800 - Laboratorios médicos,,,,,
LABCOOR24,203,LAB CORTISOL ORINA 24 HRS,294.18,341.25,85121800 - Laboratorios médicos,,,,,
LABCOVPCR,205,LAB COVID 19 PCR,1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABCOINVSR,784,"LAB COVID, INFLUENZA Y VSR",1780.00,2064.80,85121800 - Laboratorios médicos,,,,,
LABCRFOCICP,969,LAB CREATIN FOSFO-CINASA (CPK),155.17,180.00,85121800 - Laboratorios médicos,,,,,
LABCRATICPK,980,LAB CREATINFOSFOQUINASA (CPK),136.21,158.00,85121800 - Laboratorios médicos,,,,,
LABCREAFRAM,982,LAB CREATINFOSFOQUINASA FRACCION MB,189.66,220.01,85121800 - Laboratorios médicos,,,,,
LABCREAT1,207,LAB CREATININA,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABCRIOG,208,LAB CRIOGLOBULINAS,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABCRYPAR,211,LAB CRYPTOSPORIDIUM PARVUM,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABCUAMAG,212,LAB CUADRUPLE MARCADOR GENETICO,4435.34,5144.99,85121800 - Laboratorios médicos,,,,,
LABDNCULANA,214,LAB CULTIVO ANAEROBICOS,362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABDNCULAUT,216,LAB CULTIVO AUTOMATIZADO,896.55,1040.00,85121800 - Laboratorios médicos,,,,,
LABDNCULBAC,217,LAB CULTIVO BACTERIANO,362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABCUPUCA,917,LAB CULTIVO DE  PUNTA DE CATÉTER,253.45,294.00,85121800 - Laboratorios médicos,,,,,
LABDNCULHRD,220,LAB CULTIVO DE HERIDA,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABDNCULHON,221,LAB CULTIVO DE HONGOS (MICOLOGICO),380.17,441.00,85121800 - Laboratorios médicos,,,,,
LABCULNEI,918,LAB CULTIVO DE Neisseria,1034.48,1200.00,85121800 - Laboratorios médicos,,,,,
LABACREACE,924,LAB CULTIVO DE Virbio cholerae,1206.90,1400.00,85121800 - Laboratorios médicos,,,,,
LABCULEXPEC,222,LAB CULTIVO EXPECTORACION,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABDNCULFAR,224,LAB CULTIVO FARINGEO,262.50,304.50,85121800 - Laboratorios médicos,,,,,
